4.14375e-05 1.53424e-17 1.94971e-17
6.5674e-05 3.29763e-17 3.63143e-17
0.000104086 6.6222e-17 6.73421e-17
0.000164966 1.27655e-16 1.24615e-16
0.000261453 2.40741e-16 2.30346e-16
0.000414375 4.49042e-16 4.2551e-16
0.00065674 8.33064e-16 7.85654e-16
0.00104086 1.54132e-15 1.44995e-15
0.00164966 2.8475e-15 2.67453e-15
0.00261453 5.25546e-15 4.93012e-15
0.00414375 9.69159e-15 9.08023e-15
0.0065674 1.78564e-14 1.6705e-14
0.0104086 3.28639e-14 3.06858e-14
0.0164966 6.03998e-14 5.6253e-14
0.0261453 1.10799e-13 1.02836e-13
0.0414375 2.02739e-13 1.87277e-13
0.065674 3.69677e-13 3.39242e-13
0.104086 6.70819e-13 6.09932e-13
0.164966 1.20903e-12 1.08502e-12
0.261453 2.15816e-12 1.90116e-12
0.414375 3.79979e-12 3.26009e-12
0.65674 6.55985e-12 5.42242e-12
1.04086 1.10125e-11 8.64583e-12
1.64966 1.77812e-11 1.30281e-11
2.61453 2.72606e-11 1.82737e-11
4.14375 3.92446e-11 2.35551e-11
6.5674 5.29703e-11 2.77721e-11
10.4086 6.80393e-11 3.0306e-11
16.4966 8.51029e-11 3.14924e-11
26.1453 1.04913e-10 3.19453e-11
41.4375 1.27418e-10 3.19158e-11
65.674 1.5185e-10 3.15008e-11
104.086 1.76865e-10 3.08209e-11
164.966 2.00808e-10 3.00121e-11
261.453 2.22198e-10 2.9177e-11
414.375 2.40084e-10 2.83608e-11
656.74 2.53958e-10 2.75717e-11
1040.86 2.63524e-10 2.68081e-11
1649.66 2.68669e-10 2.60674e-11
2614.53 2.69561e-10 2.53469e-11
4143.75 2.66764e-10 2.46441e-11
6567.4 2.6125e-10 2.39563e-11
10408.6 2.54192e-10 2.32811e-11
16496.6 2.46563e-10 2.26163e-11
26145.3 2.38861e-10 2.19598e-11
41437.5 2.31217e-10 2.13098e-11
65674 2.23643e-10 2.06652e-11
104086 2.16136e-10 2.00255e-11
164966 2.08697e-10 1.93912e-11
261453 2.01326e-10 1.8765e-11
414375 1.94027e-10 1.81523e-11
656740 1.86803e-10 1.75631e-11
1.04086e+06 1.79665e-10 1.70155e-11
1.64966e+06 1.72627e-10 1.6539e-11
2.61453e+06 1.65709e-10 1.61809e-11
4.14375e+06 1.58945e-10 1.60125e-11
6.5674e+06 1.52377e-10 1.61352e-11
1.04086e+07 1.46063e-10 1.6682e-11
1.64966e+07 1.40071e-10 1.7808e-11
2.61453e+07 1.34482e-10 1.96627e-11
4.14375e+07 1.29387e-10 2.23425e-11
6.5674e+07 1.24893e-10 2.58371e-11
1.04086e+08 1.21112e-10 2.9986e-11
1.64966e+08 1.18154e-10 3.44887e-11
2.61453e+08 1.16095e-10 3.89851e-11
4.14375e+08 1.14953e-10 4.31374e-11
6.5674e+08 1.14644e-10 4.663e-11
1.04086e+09 1.14933e-10 4.90783e-11
1.64966e+09 1.15387e-10 5.00331e-11
2.61453e+09 1.15496e-10 4.9204e-11
4.14375e+09 1.14487e-10 4.62364e-11
6.5674e+09 1.11384e-10 4.09897e-11
1.04086e+10 1.05082e-10 3.37556e-11
1.64966e+10 9.47502e-11 2.58441e-11
2.61453e+10 7.75779e-11 1.75916e-11
4.14375e+10 5.2566e-11 9.71829e-12
6.5674e+10 2.69908e-11 4.00549e-12
1.04086e+11 8.79411e-12 1.04501e-12
1.64966e+11 1.29939e-12 1.2697e-13
2.61453e+11 6.57201e-14 5.55177e-15
4.14375e+11 1.23153e-15 9.3659e-17
6.5674e+11 1.80951e-17 1.24992e-18
1.04086e+12 5.26055e-19 3.25195e-20
1.64966e+12 1.94269e-20 1.04828e-21
2.61453e+12 1.68696e-22 7.78124e-24
4.14375e+12 4.9188e-26 1.93083e-27
6.5674e+12 9.61292e-31 -nan
1.04086e+13 4.90133e-31 -nan
1.64966e+13 2.47052e-31 6.97834e-33
2.61453e+13 1.22443e-31 3.35323e-33
4.14375e+13 5.93922e-32 -nan
6.5674e+13 2.80787e-32 7.87513e-34
1.04086e+14 1.28826e-32 3.68908e-34
1.64966e+14 5.68905e-33 1.62224e-34
2.61453e+14 2.37299e-33 6.40235e-35
4.14375e+14 9.02064e-34 2.12691e-35
6.5674e+14 2.94887e-34 5.41735e-36
1.04086e+15 7.59452e-35 9.22142e-37
1.64966e+15 1.35466e-35 8.56755e-38
2.61453e+15 1.38657e-36 3.21666e-39
4.14375e+15 6.1723e-38 3.07865e-41
6.5674e+15 7.82934e-40 3.5854e-44
1.04086e+16 1.4433e-42 1.51836e-48
1.64966e+16 1.30151e-46 3.33642e-55
2.61453e+16 9.91181e-53 1.71868e-65
4.14375e+16 3.73973e-62 1.54473e-81
6.5674e+16 7.37624e-77 7.72523e-314
